created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:55:29 +0000 2024;1785276786802323625;"@xvz_808 istiqlal mau sholat aja ditawarin tissue ih mlz";0;0;0;0;in;1482907545455185920;1785263727266410560;meyonkkkk;https://twitter.com/meyonkkkk/status/1785276786802323625
Tue Apr 30 11:55:17 +0000 2024;1785276735678017754;"abis larian larian bawa gayung isi air sampe diliatin tetangga tetangga gw karna ngejar kucing gw yg nyerang kucing liar";0;1;0;0;in;1278439758075699200;1785276735678017754;sukkiethekid;https://twitter.com/sukkiethekid/status/1785276735678017754
Tue Apr 30 11:55:11 +0000 2024;1785276710033965455;"-dips! Ada yang lihat atau ngambil kucing ini ga ya? Ilang kemarin malem sekitar jam 9. Lokasinya di daerah Timoho. Pliss dong yang lihat, atau yang merasa ngambil🙏🙏. Makasih sebelumnya https://t.co/p6qVGEMHkF";0;1;4;12;in;1177052356925513728;1785276710033965455;undipmenfess;https://twitter.com/undipmenfess/status/1785276710033965455
Tue Apr 30 11:55:07 +0000 2024;1785276696469635147;"@secebisan Kucing warna oren = Oyen. Anjing warna oren = Oyen juga ke??? 🤯";0;1;0;0;in;46647926;1785194412966080561;idespisecats;https://twitter.com/idespisecats/status/1785276696469635147
Tue Apr 30 11:55:02 +0000 2024;1785276675170906516;"Kucing kecilku, cintaku.";0;0;0;0;in;18584336;1785276675170906516;Remasterise;https://twitter.com/Remasterise/status/1785276675170906516
Tue Apr 30 11:55:01 +0000 2024;1785276669500236196;"mata cowok kamu mba ketutupun tai kucing";0;0;0;0;in;1319750965587701760;1785276669500236196;rintarosunax;https://twitter.com/rintarosunax/status/1785276669500236196
Tue Apr 30 11:54:50 +0000 2024;1785276625267126568;"@hourIyme Kok bisa sama sih case nya 😭, Iya keganggu banget sama pup nya. Terus ada warga yang ngeluh ke si tetangga tsb gara-gara pup meng, tapi si tetangga bilang itu kan bukan kucing dia, dia cuma ngasih makan doang. Agak kesel sih dengernya, gak bertanggung jawab 🙃, Tapi kasian juga";0;1;0;0;in;2888320880;1785259010918404422;Febxxous;https://twitter.com/Febxxous/status/1785276625267126568
Tue Apr 30 11:54:42 +0000 2024;1785276590282416461;"Belajar bahasa kucing di tiktok ya lo pada😭";0;0;0;0;in;1287039301209874435;1785276590282416461;macan_bang;https://twitter.com/macan_bang/status/1785276590282416461
Tue Apr 30 11:54:41 +0000 2024;1785276587468034555;"memanggil semua orang ber-pfp jungwon kucing karena emang kucing";0;1;0;0;in;1756712917117087744;1785276587468034555;forgeregrof;https://twitter.com/forgeregrof/status/1785276587468034555
Tue Apr 30 11:54:36 +0000 2024;1785276564810485974;"@kesambergledek yg bnr luh";0;1;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276564810485974
